"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Farmington School District","900327600","2016-2017","Grade 8","Percent","Suspensions","1.8"
"Farmington School District","900327600","2016-2017","Grade 9","Percent","Suspensions","2.7"
"Farmington School District","900327600","2016-2017","Grade 10","Percent","Suspensions","-9999"
"Farmington School District","900327600","2016-2017","Grade 11","Percent","Suspensions","-9999"
"Farmington School District","900327600","2016-2017","Grade 12","Percent","Suspensions","2.2"
"Franklin School District","","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Franklin School District","","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Franklin School District","","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Franklin School District","","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Franklin School District","","2009-2010","Grade 5","Percent","Suspensions","-6666"
"Franklin School District","","2009-2010","Grade 6","Percent","Suspensions","-9999"
"Franklin School District","","2009-2010","Grade 7","Percent","Suspensions","-9999"
"Franklin School District","","2009-2010","Grade 8","Percent","Suspensions","-9999"
"Franklin School District","","2009-2010","Grade 9","Percent","Suspensions","-9999"
"Franklin School District","","2009-2010","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2009-2010","Grade 11","Percent","Suspensions","0"
"Franklin School District","","2009-2010","Grade 12","Percent","Suspensions","-9999"
"Franklin School District","","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Franklin School District","","2010-2011","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2010-2011","Grade 2","Percent","Suspensions","-9999"
"Franklin School District","","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2010-2011","Grade 4","Percent","Suspensions","-6666"
"Franklin School District","","2010-2011","Grade 5","Percent","Suspensions","-6666"
"Franklin School District","","2010-2011","Grade 6","Percent","Suspensions","-6666"
"Franklin School District","","2010-2011","Grade 7","Percent","Suspensions","-9999"
"Franklin School District","","2010-2011","Grade 8","Percent","Suspensions","-6666"
"Franklin School District","","2010-2011","Grade 9","Percent","Suspensions","-9999"
"Franklin School District","","2010-2011","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2010-2011","Grade 11","Percent","Suspensions","0"
"Franklin School District","","2010-2011","Grade 12","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Kindergarten","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Franklin School District","","2011-2012","Grade 2","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 5","Percent","Suspensions","-6666"
"Franklin School District","","2011-2012","Grade 6","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 7","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 8","Percent","Suspensions","-6666"
"Franklin School District","","2011-2012","Grade 9","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 10","Percent","Suspensions","-9999"
"Franklin School District","","2011-2012","Grade 11","Percent","Suspensions","0"
"Franklin School District","","2011-2012","Grade 12","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Franklin School District","","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Grade 5","Percent","Suspensions","-6666"
"Franklin School District","","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Grade 7","Percent","Suspensions","-6666"
"Franklin School District","","2012-2013","Grade 8","Percent","Suspensions","-6666"
"Franklin School District","","2012-2013","Grade 9","Percent","Suspensions","0"
"Franklin School District","","2012-2013","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2012-2013","Grade 11","Percent","Suspensions","-9999"
"Franklin School District","","2012-2013","Grade 12","Percent","Suspensions","0"
"Franklin School District","","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 6","Percent","Suspensions","-6666"
"Franklin School District","","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 8","Percent","Suspensions","-9999"
"Franklin School District","","2013-2014","Grade 9","Percent","Suspensions","0"
"Franklin School District","","2013-2014","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2013-2014","Grade 11","Percent","Suspensions","0"
"Franklin School District","","2013-2014","Grade 12","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Franklin School District","","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Franklin School District","","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Grade 4","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Grade 6","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Grade 7","Percent","Suspensions","-6666"
"Franklin School District","","2014-2015","Grade 8","Percent","Suspensions","-9999"
"Franklin School District","","2014-2015","Grade 9","Percent","Suspensions","0"
"Franklin School District","","2014-2015","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2014-2015","Grade 11","Percent","Suspensions","0"
"Franklin School District","","2014-2015","Grade 12","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 4","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 6","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 7","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 8","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 9","Percent","Suspensions","0"
"Franklin School District","","2015-2016","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2015-2016","Grade 11","Percent","Suspensions","-9999"
"Franklin School District","","2015-2016","Grade 12","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 1","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 2","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 4","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 5","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 6","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 7","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 8","Percent","Suspensions","-9999"
"Franklin School District","","2016-2017","Grade 9","Percent","Suspensions","0"
"Franklin School District","","2016-2017","Grade 10","Percent","Suspensions","0"
"Franklin School District","","2016-2017","Grade 11","Percent","Suspensions","0"
"Franklin School District","","2016-2017","Grade 12","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Grade 2","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2009-2010","Grade 4","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Grade 6","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Grade 7","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2009-2010","Grade 8","Percent","Suspensions","1.9"
"Glastonbury School District","900331240","2009-2010","Grade 9","Percent","Suspensions","3.2"
"Glastonbury School District","900331240","2009-2010","Grade 10","Percent","Suspensions","8.1"
"Glastonbury School District","900331240","2009-2010","Grade 11","Percent","Suspensions","4.7"
"Glastonbury School District","900331240","2009-2010","Grade 12","Percent","Suspensions","8.8"
"Glastonbury School District","900331240","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2010-2011","Grade 2","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2010-2011","Grade 3","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2010-2011","Grade 6","Percent","Suspensions","1.2"
"Glastonbury School District","900331240","2010-2011","Grade 7","Percent","Suspensions","1.4"
"Glastonbury School District","900331240","2010-2011","Grade 8","Percent","Suspensions","2.0"
"Glastonbury School District","900331240","2010-2011","Grade 9","Percent","Suspensions","4.5"
"Glastonbury School District","900331240","2010-2011","Grade 10","Percent","Suspensions","4.1"
"Glastonbury School District","900331240","2010-2011","Grade 11","Percent","Suspensions","4.7"
"Glastonbury School District","900331240","2010-2011","Grade 12","Percent","Suspensions","5.5"
"Glastonbury School District","900331240","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2011-2012","Grade 6","Percent","Suspensions","2.7"
"Glastonbury School District","900331240","2011-2012","Grade 7","Percent","Suspensions","1.5"
"Glastonbury School District","900331240","2011-2012","Grade 8","Percent","Suspensions","2.5"
"Glastonbury School District","900331240","2011-2012","Grade 9","Percent","Suspensions","2.6"
"Glastonbury School District","900331240","2011-2012","Grade 10","Percent","Suspensions","3.9"
"Glastonbury School District","900331240","2011-2012","Grade 11","Percent","Suspensions","5.9"
"Glastonbury School District","900331240","2011-2012","Grade 12","Percent","Suspensions","4.1"
"Glastonbury School District","900331240","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2012-2013","Grade 4","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2012-2013","Grade 6","Percent","Suspensions","2.1"
"Glastonbury School District","900331240","2012-2013","Grade 7","Percent","Suspensions","1.8"
"Glastonbury School District","900331240","2012-2013","Grade 8","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2012-2013","Grade 9","Percent","Suspensions","2.5"
"Glastonbury School District","900331240","2012-2013","Grade 10","Percent","Suspensions","3.3"
"Glastonbury School District","900331240","2012-2013","Grade 11","Percent","Suspensions","4.1"
"Glastonbury School District","900331240","2012-2013","Grade 12","Percent","Suspensions","5.3"
"Glastonbury School District","900331240","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 3","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2013-2014","Grade 8","Percent","Suspensions","3.4"
"Glastonbury School District","900331240","2013-2014","Grade 9","Percent","Suspensions","2.8"
"Glastonbury School District","900331240","2013-2014","Grade 10","Percent","Suspensions","3.8"
"Glastonbury School District","900331240","2013-2014","Grade 11","Percent","Suspensions","5.4"
"Glastonbury School District","900331240","2013-2014","Grade 12","Percent","Suspensions","5.0"
"Glastonbury School District","900331240","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2014-2015","Grade 2","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2014-2015","Grade 4","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2014-2015","Grade 6","Percent","Suspensions","1.9"
"Glastonbury School District","900331240","2014-2015","Grade 7","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2014-2015","Grade 8","Percent","Suspensions","1.3"
"Glastonbury School District","900331240","2014-2015","Grade 9","Percent","Suspensions","3.0"
"Glastonbury School District","900331240","2014-2015","Grade 10","Percent","Suspensions","2.7"
"Glastonbury School District","900331240","2014-2015","Grade 11","Percent","Suspensions","5.0"
"Glastonbury School District","900331240","2014-2015","Grade 12","Percent","Suspensions","2.9"
"Glastonbury School District","900331240","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2015-2016","Grade 2","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2015-2016","Grade 6","Percent","Suspensions","1.9"
"Glastonbury School District","900331240","2015-2016","Grade 7","Percent","Suspensions","1.1"
"Glastonbury School District","900331240","2015-2016","Grade 8","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2015-2016","Grade 9","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2015-2016","Grade 10","Percent","Suspensions","3.9"
"Glastonbury School District","900331240","2015-2016","Grade 11","Percent","Suspensions","1.6"
"Glastonbury School District","900331240","2015-2016","Grade 12","Percent","Suspensions","2.5"
"Glastonbury School District","900331240","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Glastonbury School District","900331240","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2016-2017","Grade 4","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2016-2017","Grade 5","Percent","Suspensions","-9999"
"Glastonbury School District","900331240","2016-2017","Grade 6","Percent","Suspensions","4.2"
"Glastonbury School District","900331240","2016-2017","Grade 7","Percent","Suspensions","2.4"
"Glastonbury School District","900331240","2016-2017","Grade 8","Percent","Suspensions","3.8"
"Glastonbury School District","900331240","2016-2017","Grade 9","Percent","Suspensions","3.2"
"Glastonbury School District","900331240","2016-2017","Grade 10","Percent","Suspensions","4.4"
"Glastonbury School District","900331240","2016-2017","Grade 11","Percent","Suspensions","4.8"
"Glastonbury School District","900331240","2016-2017","Grade 12","Percent","Suspensions","3.2"
"Granby School District","900332640","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Granby School District","900332640","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Granby School District","900332640","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Granby School District","900332640","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Granby School District","900332640","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Granby School District","900332640","2009-2010","Grade 5","Percent","Suspensions","-6666"
"Granby School District","900332640","2009-2010","Grade 6","Percent","Suspensions","-6666"
"Granby School District","900332640","2009-2010","Grade 7","Percent","Suspensions","3.7"
"Granby School District","900332640","2009-2010","Grade 8","Percent","Suspensions","-9999"
"Granby School District","900332640","2009-2010","Grade 9","Percent","Suspensions","4.1"
"Granby School District","900332640","2009-2010","Grade 10","Percent","Suspensions","5.3"
"Granby School District","900332640","2009-2010","Grade 11","Percent","Suspensions","5.1"
"Granby School District","900332640","2009-2010","Grade 12","Percent","Suspensions","8.2"
"Granby School District","900332640","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Granby School District","900332640","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Granby School District","900332640","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Granby School District","900332640","2010-2011","Grade 3","Percent","Suspensions","-6666"
"Granby School District","900332640","2010-2011","Grade 4","Percent","Suspensions","-6666"
"Granby School District","900332640","2010-2011","Grade 5","Percent","Suspensions","-6666"
"Granby School District","900332640","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Granby School District","900332640","2010-2011","Grade 7","Percent","Suspensions","-9999"
"Granby School District","900332640","2010-2011","Grade 8","Percent","Suspensions","-9999"
"Granby School District","900332640","2010-2011","Grade 9","Percent","Suspensions","3.9"
"Granby School District","900332640","2010-2011","Grade 10","Percent","Suspensions","5.2"
"Granby School District","900332640","2010-2011","Grade 11","Percent","Suspensions","11.6"
"Granby School District","900332640","2010-2011","Grade 12","Percent","Suspensions","8.2"
"Granby School District","900332640","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Granby School District","900332640","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Granby School District","900332640","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Granby School District","900332640","2011-2012","Grade 3","Percent","Suspensions","-6666"
"Granby School District","900332640","2011-2012","Grade 4","Percent","Suspensions","-6666"
"Granby School District","900332640","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Granby School District","900332640","2011-2012","Grade 6","Percent","Suspensions","-6666"
"Granby School District","900332640","2011-2012","Grade 7","Percent","Suspensions","-9999"
"Granby School District","900332640","2011-2012","Grade 8","Percent","Suspensions","-9999"
"Granby School District","900332640","2011-2012","Grade 9","Percent","Suspensions","6.1"
"Granby School District","900332640","2011-2012","Grade 10","Percent","Suspensions","-9999"
"Granby School District","900332640","2011-2012","Grade 11","Percent","Suspensions","5.8"
"Granby School District","900332640","2011-2012","Grade 12","Percent","Suspensions","6.6"
"Granby School District","900332640","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Granby School District","900332640","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Granby School District","900332640","2012-2013","Grade 3","Percent","Suspensions","-6666"
"Granby School District","900332640","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 7","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 8","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 9","Percent","Suspensions","-9999"
"Granby School District","900332640","2012-2013","Grade 10","Percent","Suspensions","4.3"
"Granby School District","900332640","2012-2013","Grade 11","Percent","Suspensions","3.0"
"Granby School District","900332640","2012-2013","Grade 12","Percent","Suspensions","4.1"
"Granby School District","900332640","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Granby School District","900332640","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Granby School District","900332640","2013-2014","Grade 2","Percent","Suspensions","-6666"
"Granby School District","900332640","2013-2014","Grade 3","Percent","Suspensions","-9999"
"Granby School District","900332640","2013-2014","Grade 4","Percent","Suspensions","-6666"
"Granby School District","900332640","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Granby School District","900332640","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Granby School District","900332640","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Granby School District","900332640","2013-2014","Grade 8","Percent","Suspensions","6.5"
"Granby School District","900332640","2013-2014","Grade 9","Percent","Suspensions","-9999"
"Granby School District","900332640","2013-2014","Grade 10","Percent","Suspensions","-9999"
"Granby School District","900332640","2013-2014","Grade 11","Percent","Suspensions","7.4"
"Granby School District","900332640","2013-2014","Grade 12","Percent","Suspensions","-9999"
"Granby School District","900332640","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Granby School District","900332640","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Granby School District","900332640","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Granby School District","900332640","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Granby School District","900332640","2014-2015","Grade 4","Percent","Suspensions","-9999"
"Granby School District","900332640","2014-2015","Grade 5","Percent","Suspensions","-6666"
"Granby School District","900332640","2014-2015","Grade 6","Percent","Suspensions","-9999"
"Granby School District","900332640","2014-2015","Grade 7","Percent","Suspensions","5.6"
"Granby School District","900332640","2014-2015","Grade 8","Percent","Suspensions","-9999"
"Granby School District","900332640","2014-2015","Grade 9","Percent","Suspensions","8.0"
"Granby School District","900332640","2014-2015","Grade 10","Percent","Suspensions","4.4"
"Granby School District","900332640","2014-2015","Grade 11","Percent","Suspensions","4.1"
"Granby School District","900332640","2014-2015","Grade 12","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Granby School District","900332640","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Grade 3","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Grade 4","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Grade 6","Percent","Suspensions","-9999"
"Granby School District","900332640","2015-2016","Grade 7","Percent","Suspensions","6.6"
"Granby School District","900332640","2015-2016","Grade 8","Percent","Suspensions","5.7"
"Granby School District","900332640","2015-2016","Grade 9","Percent","Suspensions","3.9"
"Granby School District","900332640","2015-2016","Grade 10","Percent","Suspensions","5.2"
"Granby School District","900332640","2015-2016","Grade 11","Percent","Suspensions","5.1"
"Granby School District","900332640","2015-2016","Grade 12","Percent","Suspensions","5.2"
"Granby School District","900332640","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Granby School District","900332640","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Granby School District","900332640","2016-2017","Grade 2","Percent","Suspensions","-9999"
"Granby School District","900332640","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Granby School District","900332640","2016-2017","Grade 4","Percent","Suspensions","-6666"
"Granby School District","900332640","2016-2017","Grade 5","Percent","Suspensions","-9999"
"Granby School District","900332640","2016-2017","Grade 6","Percent","Suspensions","9.3"
"Granby School District","900332640","2016-2017","Grade 7","Percent","Suspensions","-9999"
"Granby School District","900332640","2016-2017","Grade 8","Percent","Suspensions","7.2"
"Granby School District","900332640","2016-2017","Grade 9","Percent","Suspensions","7.4"
"Granby School District","900332640","2016-2017","Grade 10","Percent","Suspensions","6.2"
"Granby School District","900332640","2016-2017","Grade 11","Percent","Suspensions","8.3"
"Granby School District","900332640","2016-2017","Grade 12","Percent","Suspensions","4.4"
"Great Oaks Charter School Bridgeport","","2009-2010","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 6","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 7","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2009-2010","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 6","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 7","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2010-2011","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 6","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 7","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2011-2012","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 1","Percent","Suspensions","0"
